etat,marque,processeur,ram,stockage,prix
Venant,Dell,I7,16,512ssd,500 000 F Cfa
Venant,Apple,I7,32,1tbssd,550 000 F Cfa
Venant,HP,I7,16,512,450 000 F Cfa
Neuf,Apple,M1,8,256,490 000 F Cfa
Neuf,Lenovo,i5,16,512,550 000 F Cfa
Venant,Apple,2.6ghz,8go,256go,180 000 F Cfa
Neuf,Apple,15 pouces,16,500,300 000 F Cfa
Venant,Dell,I5,8,256,
Venant,Dell,,,,95 000 F Cfa
Venant,HP,I7,16,512,
Venant,Apple,M1,8Go,256Go,560 000 F Cfa
Neuf,Dell,Core i7,16go,512go,600 000 F Cfa
D'occasion,Dell,I7,32,512,
Neuf,HP,i5,8Go,SSD 256Go,150 000 F Cfa
Venant,Dell,I7,16,512,
Neuf,HP,,,,475 000 F Cfa
Venant,HP,Intel Xeon 24 coeurs,32 go,SSD 512 + 2to hdd,350 000 F Cfa
Neuf,HP,I5,8Go,256 SSD,265 000 F Cfa
Neuf,Lenovo,Corei7,32Giga,256Giga Ssd,700 000 F Cfa
Venant,Dell,Corei7,16,512ssd,275 000 F Cfa
Neuf,Dell,CORE I7,16GO,512 SSD,350 000 F Cfa
Neuf,Dell,CORE I7,16GO,512 SSD,375 000 F Cfa
Neuf,Dell,CORE I7,16GO,512 SSD,375 000 F Cfa
Neuf,Dell,CORE I7,16GO,512 SSD,375 000 F Cfa
Neuf,HP,,,,650 000 F Cfa
Venant,Dell,i7,32,512,320 000 F Cfa
Neuf,Apple,M1,8,256,415 000 F Cfa
Venant,Fujitsu,i7,72,20 Tera,700 000 F Cfa
Neuf,Dell,Core i7 13th gen,16gb,512 ssd,850 000 F Cfa
Neuf,Dell,Core i7 13th gen,16Gb,512 ssd,700 000 F Cfa
Neuf,Dell,Core i5 13th gen,8Gb,256 ssd,550 000 F Cfa
Venant,Dell,i7,16,256,300 000 F Cfa
D'occasion,HP,I5-8350U CPU 1.70Ghz,8 gb,256 Gb SSD,150 000 F Cfa
D'occasion,Dell,I5,8,512,105 000 F Cfa
Venant,Apple,DUO CORE,4GO,500 Go,55 000 F Cfa
Venant,HP,,4,128,110 000 F Cfa
Neuf,HP,,8gb,256gb,250 000 F Cfa
Venant,HP,I3,8,1 terra,80 000 F Cfa
Venant,HP,,8,256,160 000 F Cfa
Venant,HP,Core i5,8,256,200 000 F Cfa
Venant,HP,,8,256,200 000 F Cfa
D'occasion,Dell,I7,16,256,400 000 F Cfa
Venant,HP,I7,16,512,
Neuf,Lenovo,Dual Core,4Go,256Go SSD,154 899 F Cfa
Neuf,Lenovo,AMD Ryzen 7,16,512,599 000 F Cfa
Neuf,Lenovo,cor i5,8 Go,500 Go,100 000 F Cfa
Neuf,HP,,8,256,190 000 F Cfa
Neuf,HP,Corei5,8,256Giga ssd,190 000 F Cfa
Neuf,Microsoft Surface,I5,8Go,256 Go,550 000 F Cfa
Neuf,HP,Corei7,16,512Giga Ssd,250 000 F Cfa
Neuf,Lenovo,Corei7,32Giga,256Giga ssd,700 000 F Cfa
Neuf,HP,Corei7,32Giga,512Giga Ssd,750 000 F Cfa
Neuf,Acer,i9,16GB,1000GB,
Neuf,Apple,M3,18,512,
Venant,Apple,M2,8,512,
Venant,Apple,M2 Max,64Gb,1TB,1 650 000 F Cfa
Neuf,Dell,i5 10eme generation,16Go,500Go,470 000 F Cfa
Neuf,Lenovo,Corei7,16,512,310 000 F Cfa
Venant,Microsoft Surface,Core i7,6,256,300 000 F Cfa
Neuf,Lenovo,Ryzen 5Pro,16,256ssd,250 000 F Cfa
Venant,Apple,Core i5,8,128 Go,350 000 F Cfa
Venant,Apple,Core i3,4,128 Go,250 000 F Cfa
Venant,Lenovo,Core i5,8,256gb,250 000 F Cfa
Venant,Lenovo,Core i7,8,256,300 000 F Cfa
Venant,HP,Intel M3,8,256gb,250 000 F Cfa
Venant,Toshiba,13 pouces,8,500,145 000 F Cfa
D'occasion,Custom pc,Intel core i3 12100F,16 GB,1 Tera NVME,450 000 F Cfa
Neuf,HP,Corei5,8,256Giga ssd,200 000 F Cfa
Venant,Dell,Core i5,6gb,640g,70 000 F Cfa
Venant,Dell,"(Intel Core i7,",RAM 8 Go,Disque dur SSD 256 Go,180 000 F Cfa
Venant,HP,AMD-A10,8g,750gb,75 000 F Cfa
Venant,HP,Pentium,4g,500g,55 000 F Cfa
Venant,HP,Core i3 6th gen,8g,1t,80 000 F Cfa
D'occasion,HP,i7,8,500gb,110 000 F Cfa
Neuf,Autre,,,,40 000 F Cfa
Venant,Lenovo,Core i5 7é génération,8Go,256Go SSD,135 000 F Cfa
Venant,Lenovo,Core i5 7é génération,16Go,256Go SSD,150 000 F Cfa
Venant,Dell,i9,32,1000go,500 000 F Cfa
Venant,Apple,i9,16,1000,575 000 F Cfa
Neuf,Dell,i7 12eme generation 20 Processeurs,32Go,SSD 1To,900 000 F Cfa
Neuf,Dell,i9 12900H 20 CPU,32Go,SSD 512Go,700 000 F Cfa
Venant,HP,2.7ghz,,,135 000 F Cfa
Venant,Dell,Core i7,16g,256ssd,160 000 F Cfa
Neuf,Apple,23,3,500,110 000 F Cfa
Venant,Apple,3.5ghz,32g,256g,300 000 F Cfa
Neuf,Apple,m1,8g,256g,550 000 F Cfa
Neuf,Dell,I7,16,512,700 000 F Cfa
Neuf,Apple,M1,8,256,600 000 F Cfa
Venant,Dell,Core i5,8,500,120 000 F Cfa
Venant,Lenovo,I5,8,500,100 000 F Cfa
D'occasion,HP,I5,8Go,1To,475 000 F Cfa
Neuf,Apple,M2,8,256,
Neuf,Autre,Celeron N4000,6,128,80 000 F Cfa
Venant,Apple,i5,8 Go,500 Go,460 000 F Cfa
Venant,Apple,i5,8 Go,128 Go ssd,200 000 F Cfa
Venant,Apple,i5,8 Go,500 Go,200 000 F Cfa
Venant,Dell,Xeon,65,1to,390 000 F Cfa
Venant,Autre,I5,8,256 ssd,80 000 F Cfa
Neuf,Autre,,,,40 000 F Cfa
Venant,MSI,Corei7,32giga,512Giga Ssd,420 000 F Cfa
Neuf,Apple,M2,8,256,620 000 F Cfa
Neuf,Apple,I9,16,2 tera,650 000 F Cfa
D'occasion,HP,Intel core i3,8G,128 SSD,180 000 F Cfa
Venant,Apple,Core i5,8Go,500Go SSD,200 000 F Cfa
Neuf,HP,,16go,,1 F Cfa
Neuf,HP,,16go,,1 F Cfa
Venant,Dell,,,,45 000 F Cfa
Venant,Apple,,,,8 000 F Cfa
Neuf,Apple,M3,18Go,1TB SSD,1 350 000 F Cfa
Neuf,Dell,I5,16,512,425 000 F Cfa
Neuf,Lenovo,Core i5,16Go,512Go,550 000 F Cfa
Venant,HP,Core i5,16Go,256Go,200 000 F Cfa
Venant,HP,,,,85 000 F Cfa
Neuf,HP,i5,8Go,512 SSD,650 000 F Cfa
Neuf,HP,i5 12th Gen,8Go,512 SSD,650 000 F Cfa
Neuf,HP,i5,16Go,512 SSD,450 000 F Cfa
Venant,Dell,Intel core i7 9th gen,32,1tb ssd,350 000 F Cfa
Neuf,Dell,Core i5,32go,512go,390 000 F Cfa
Venant,HP,Intel Core i7 de 13ème génération,16Go,1To (1000Go) SSD,750 000 F Cfa
Venant,HP,Intel core i7 10th generation,16,512,395 000 F Cfa
Venant,HP,Amd ryzen 5 pro,16,256,350 000 F Cfa
Venant,Apple,i5,16 Go,256 Go ssd,300 000 F Cfa
Venant,Apple,i5,16 Go,256 Go ssd,325 000 F Cfa
Venant,Dell,i5 8th,8 go,256 go ssd,175 000 F Cfa
Neuf,MSI,,32go,,425 000 F Cfa
Neuf,Dell,i7,32go,1000,625 000 F Cfa
Neuf,HP,Corei5,8,256,150 000 F Cfa
Neuf,HP,I5,16,512,420 000 F Cfa
D'occasion,HP,I7,16,512,475 000 F Cfa
Neuf,HP,I5 12500h 12 Cœurs,16GB option 32GB,512GB SSD option 1Tera,650 000 F Cfa
Venant,Apple,i9,16,1000,575 000 F Cfa
Venant,Dell,i5,8,500,190 000 F Cfa
Venant,Apple,,,,80 000 F Cfa
Venant,ASUS,,8,640,70 000 F Cfa
Venant,Microsoft Surface,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz 2.50 GHz,8 Go,256 Go,255 000 F Cfa
Neuf,HP,Corei5,8,256Giga ssd,200 000 F Cfa
Neuf,HP,Corei5,8,256Giga ssd,190 000 F Cfa
Venant,Apple,I7 1.7GHz - 3.3GHz,8,250,200 000 F Cfa
Venant,Microsoft Surface,i5,8 Go,256 Go ssd,200 000 F Cfa
Neuf,Dell,Core i7 12th gen,16Gb,512 ssd,700 000 F Cfa
Neuf,HP,Core i7 12th gen,16Gb,512 ssd,650 000 F Cfa
Venant,Dell,i5 6th,8,500 go hdd,145 000 F Cfa
Venant,HP,,,,115 000 F Cfa
Neuf,Apple,M3,18,512,1 400 000 F Cfa
Neuf,HP,Core i7 10é génération,64Go DDR4,1Tb SSD + 3Tb HDD,1 500 000 F Cfa
Venant,Lenovo,,4,320,80 000 F Cfa
Neuf,ASUS,I7,1To,32GO,900 000 F Cfa
Venant,Microsoft Surface,Intel core i5 10th generation,8,128,240 000 F Cfa
Neuf,HP,intel core i7,16,512,650 000 F Cfa
Neuf,HP,intel core i5,16,512,500 000 F Cfa
Venant,Dell,Core i5 6th gen,8Go,500Go,140 000 F Cfa
Venant,Dell,Core i5 7th gen,8Go,500Go,150 000 F Cfa
Venant,Dell,Core i5 6th gen,8Go,500Go,140 000 F Cfa
Venant,Dell,Core i5 8th gen,8Go,256Go ssd,180 000 F Cfa
Neuf,ASUS,I7,16,512,320 000 F Cfa
Neuf,Apple,M3 pro,18,512,1 450 000 F Cfa
Venant,Apple,I7,16,256,400 000 F Cfa
Venant,MSI,Corei7,32,512,425 000 F Cfa
Neuf,HP,Corei5,8,256,190 000 F Cfa
Neuf,Lenovo,Ryzen 5pro,16,256Giga ssd,235 000 F Cfa
Neuf,Lenovo,Corei7,16,512Giga Ssd,320 000 F Cfa
Venant,Lenovo,Core i5 6th gen,8Go,256Go ssd,140 000 F Cfa
Venant,Lenovo,Core i5 6th gen,8Go,500Go,130 000 F Cfa
Venant,Dell,2.6ghz,8,1000,110 000 F Cfa
Venant,Lenovo,Core i5 6th gen,8Go,256Go ssd,150 000 F Cfa
Venant,Dell,Core i5 6th gen,8Go,256Go ssd,140 000 F Cfa
Venant,Lenovo,Core i5 4th gen,8Go,256Go ssd,125 000 F Cfa
Neuf,ASUS,i3,256,8,150 000 F Cfa
Venant,Apple,1.6Ghz,8go,128ssd 512,350 000 F Cfa
Venant,Samsung,I5 11th,8,256,
Venant,Lenovo,I7 11th,16,256,
Venant,Dell,,,,125 000 F Cfa
Venant,Lenovo,CORE I5,8 GO,256 SSD,159 900 F Cfa
Neuf,Lenovo,I5-13gen,16go,512ssd,550 000 F Cfa
Venant,Lenovo,I5,8,512,320 000 F Cfa
Venant,Microsoft Surface,I5 12th,16,256,
Venant,Dell,I7,32,1 Téra,
Neuf,HP,Corei5,8,256Giga ssd,150 000 F Cfa
Venant,Lenovo,Intel core i5 7th gen,8,256,170 000 F Cfa
Venant,Lenovo,Intel core i5 8th gen,8,512,195 000 F Cfa
Neuf,Compaq,13 pouce,8gb,256 ssd,285 000 F Cfa
Neuf,ASUS,15 pouce,8gb,512 ssd,3 250 000 F Cfa
Neuf,Dell,I7,16GB,1tb ssd,495 000 F Cfa
Neuf,Lenovo,Core i7,32go,512go,490 000 F Cfa
Venant,HP,Core i5,16go,756go,190 000 F Cfa
Neuf,Autre,i5 11eme Generation,8go,SSD 500Go,450 000 F Cfa
Neuf,Dell,"Ryzen 9 32 Processeurs 2,5Ghz",16Go,SSD 1To,1 500 000 F Cfa
Réconditionné,Dell,core i5,8GO,256 SSD,170 000 F Cfa
Venant,Lenovo,Intel core i5,8,256,250 000 F Cfa
Venant,HP,,,,50 000 F Cfa
Venant,Apple,Core i5,16Go,512Go,600 000 F Cfa
Neuf,Lenovo,Core i7,32Go,512Go,580 000 F Cfa
Neuf,Dell,Core i5,16Go,512Go,500 000 F Cfa
Neuf,Lenovo,Intel core i5,8,256,250 000 F Cfa
Neuf,Microsoft Surface,Core i5,,256,285 000 F Cfa
Venant,Lenovo,,8,SSD 256 Go,165 000 F Cfa
Neuf,Dell,Intel core i5,16,256,325 000 F Cfa
Neuf,HP,I7-12Th,16GO,512SSD,650 000 F Cfa
Neuf,HP,Corei7,16,512Giga Ssd,250 000 F Cfa
Neuf,HP,Corei5,8,256Giga ssd,200 000 F Cfa
Neuf,HP,Corei7,16,512,500 000 F Cfa
Neuf,Dell,Corei7,16,512Giga Ssd,650 000 F Cfa
Neuf,Dell,I7-12 gen,16Go,512SSD,650 000 F Cfa
Neuf,Apple,M2,8Go,256Go,800 000 F Cfa
Neuf,Lenovo,i5,16Go,SSD 256Go,230 000 F Cfa
Neuf,HP,I5-13 gen,16go,512ssd,500 000 F Cfa
Venant,Lenovo,i5,8,500,210 000 F Cfa
Neuf,Dell,I7 13th,16gb,512gb,750 000 F Cfa
Venant,Dell,I5,12,256,185 000 F Cfa
Neuf,Dell,i7,16,256 et 1000,450 000 F Cfa
Neuf,Lenovo,i5,16,512,350 000 F Cfa
Neuf,HP,Corei7,16,512Giga Ssd,500 000 F Cfa
Neuf,Lenovo,Corei7,32Giga,512Giga Ssd,680 000 F Cfa
Neuf,Dell,Corei7,32,512,650 000 F Cfa
Neuf,HP,Corei5,8,256ssd,200 000 F Cfa
Neuf,HP,Corei7,16,512ssd,250 000 F Cfa
Venant,HP,cor i5,8Go,500 Go,115 000 F Cfa
D'occasion,Apple,I5,8,512,300 000 F Cfa
Venant,Dell,Intel core i5,8 go ddr4,500 go,115 000 F Cfa
Neuf,ASUS,I7,24Go,1To,450 000 F Cfa
Neuf,Dell,I7-12Th,16Go,512ssd,600 000 F Cfa
Venant,Dell,,,,45 000 F Cfa
Neuf,Apple,M1,8 Go,256 Go,510 000 F Cfa
Neuf,Apple,M2,8Go,256Go,760 000 F Cfa
Neuf,Dell,34,4,45,35 000 F Cfa
Neuf,HP,I7-13gen,32Go,1To,750 000 F Cfa
Venant,HP,,,,225 000 F Cfa
Venant,HP,i5,8,500 go HDD,100 000 F Cfa
Venant,HP,Intel core i7 8th gen,16,256,245 000 F Cfa
Venant,HP,,8,256,180 000 F Cfa
Venant,Lenovo,Core i7,8,256,190 000 F Cfa
Venant,Lenovo,Intel core i5 8th gen,16,256,180 000 F Cfa
Neuf,ASUS,I7-12gen,32Go,512SSD,500 000 F Cfa
Venant,Lenovo,Intel core i5 8th gen,16,256,180 000 F Cfa
Venant,Microsoft Surface,Atome Intel Quad Core,4,64,70 000 F Cfa
Neuf,Lenovo,,8go,,160 000 F Cfa
Venant,Apple,Core i5 2.9ghz,Ram Go,500Go SSD,380 000 F Cfa
Venant,HP,CORE duo,4gb,128/256go,80 000 F Cfa
Neuf,Dell,corei5/i7,8gb/16gb,256/500go,100 000 F Cfa
Neuf,Microsoft Surface,SQ3,16GB,512GB,850 000 F Cfa
Neuf,Dell,I7,32,1Tb,
Venant,HP,I5,8,1Téra,
Neuf,HP,Corei5,16,512,415 000 F Cfa
Neuf,Dell,Corei5,16,256,235 000 F Cfa
Neuf,HP,Corei5,8,256,275 000 F Cfa
Venant,Lenovo,i5 8th,8,128 go ssd,175 000 F Cfa
Neuf,Autre,,,,10 000 F Cfa
Neuf,HP,CORE I5,64 GO,1 TERA SSD,699 000 F Cfa
Venant,HP,,,,55 000 F Cfa
Neuf,Lenovo,I5,32Go,512Go,550 000 F Cfa
Venant,Lenovo,I5,16Go,256Go,480 000 F Cfa
Venant,HP,DUO CORE,8 Go,128 Go SSD,65 000 F Cfa
Venant,HP,cor i5,16 Go,256 Go SSD,175 000 F Cfa
Venant,Apple,M1,8GB,256 Go,450 000 F Cfa
Neuf,Lenovo,i5,32 Go,512 Go,450 002 F Cfa
Neuf,Apple,M2,8 Go,256 Go,780 000 F Cfa
Neuf,HP,2.90,8go,256ssd,180 000 F Cfa
Neuf,HP,Intel core i5,16go,512ssd,330 000 F Cfa
Venant,Apple,corei5/i7,8gb/16gb,1000go,250 000 F Cfa
Neuf,Apple,,16gb,1000go,250 000 F Cfa
Neuf,Apple,,18,512,1 500 000 F Cfa
Neuf,Autre,,,,450 000 F Cfa
Neuf,HP,,16go,,450 000 F Cfa
Neuf,HP,,8GO,512 SSD,350 000 F Cfa
Venant,Lenovo,,8GO,256 SSS,150 000 F Cfa
D'occasion,HP,,,,100 000 F Cfa
Neuf,Apple,M3 MAX,48,1TB,2 699 000 F Cfa
Venant,Lenovo,Intel Celeron,4Go,128Go,70 000 F Cfa
Neuf,Acer,Duo Core,4,128,200 000 F Cfa
Venant,Apple,Corei9,32,1tera,650 000 F Cfa
Venant,Apple,Corei5,16,1tera,550 000 F Cfa
Venant,HP,i5 7th gen,8go,256go ssd,180 000 F Cfa
Neuf,Apple,M2,8GB,256 GB,650 000 F Cfa
Venant,Apple,M1,16,512,600 000 F Cfa
Neuf,HP,intel core i5,8,512,480 000 F Cfa
Venant,HP,i5 11th,16,512go SSD,300 000 F Cfa
Neuf,HP,,,,160 000 F Cfa
Venant,Apple,I7,16,512,260 000 F Cfa
Venant,HP,i5,8,500go HDD,125 000 F Cfa
Venant,Dell,Intel corei7 8th generation,16g,256,145 000 F Cfa
Venant,Lenovo,Intel,8,500,125 000 F Cfa
Neuf,Microsoft Surface,Core i7,32GB,SSD 1TB,2 750 000 F Cfa
Neuf,Apple,M2,8 go,256 ssd,600 000 F Cfa
,Dell,,4,320,100 000 F Cfa
Neuf,HP,Core i5,16go,256ssd,230 000 F Cfa
Neuf,HP,i7,16Go,512GB,300 000 F Cfa
Neuf,HP,i5,8Go,256,200 000 F Cfa
Venant,Dell,i5,16,256,280 000 F Cfa
Venant,Lenovo,2.5,8,500,130 000 F Cfa
Venant,Dell,i5,8go,500go,100 000 F Cfa
Neuf,ASUS,I5,16go,512ssd,350 000 F Cfa
Neuf,Lenovo,I7-12gen,16go,512ssd,650 000 F Cfa
Neuf,Lenovo,Ryzen 7,12Go,512SSD,400 000 F Cfa
Venant,Lenovo,,8,500go,130 000 F Cfa
Venant,HP,14 pouces,8,256Go,230 000 F Cfa
Venant,Dell,13 pouces,8,256gb,160 000 F Cfa
Venant,HP,,8,128 +500 hdd,
Venant,Microsoft Surface,corei5/i7,8,256,225 000 F Cfa
Neuf,HP,Core i7-13em generation,16Go,512Go,730 000 F Cfa
Neuf,Dell,I5-11Th,8 go,256ssd,350 000 F Cfa
Venant,Apple,M2,8Go,256Go,610 000 F Cfa
Neuf,HP,Ryzen 5pro,16,512,325 000 F Cfa
Neuf,HP,Corei7,16,512,345 000 F Cfa
Neuf,HP,Corei5,8,256,265 000 F Cfa
Neuf,Dell,Corei5,16,512,425 000 F Cfa
Venant,Lenovo,Intel core i7 8th generation,16,512,330 000 F Cfa
Venant,Dell,Intel core m7,8,256,165 000 F Cfa
Venant,Apple,13 pouces,8,256gb,200 000 F Cfa
Venant,HP,i3,4 Go,500 Go,75 000 F Cfa
Venant,HP,Core i5,8 Go,500 Go,125 000 F Cfa
Venant,Lenovo,i5,16 Go,500 Go,200 000 F Cfa
Venant,HP,i5,8 Go,256 Go ssd,135 000 F Cfa
Venant,HP,Dual core,4 Go,250 Go,45 000 F Cfa
Neuf,HP,Ryzen 5 Pro,16,512,380 000 F Cfa
Venant,Lenovo,,8,500 go hdd,85 000 F Cfa
Venant,Dell,i5 2.5 ghz,8,500 go hdd ou 180 go ssd,160 000 F Cfa
Venant,Dell,i5 6th,8,500 go hdd,145 000 F Cfa
Venant,Apple,CORE I7,8Go,256 SSD,199 900 F Cfa
Venant,Lenovo,,,,45 000 F Cfa
D'occasion,Dell,duo,8,128 go ssd,90 000 F Cfa
Venant,HP,cor i5,8 Go,500 Go,115 000 F Cfa
Venant,Lenovo,CORE i7 ✅,8 GO ✅,1000 GO SSD ✅,350 000 F Cfa
Neuf,HP,,16Go,256Go SSD NVme,200 000 F Cfa
Venant,HP,14 POUCES,8,256Go,250 000 F Cfa
Venant,Apple,,8,1tera,300 000 F Cfa
Neuf,HP,3.0,8,256,220 000 F Cfa
Venant,HP,I7,8,512,320 000 F Cfa
Neuf,HP,I7,32,10000,650 000 F Cfa
Neuf,HP,i7,16,512,300 000 F Cfa
Venant,Apple,i7,16 Go,128 Go ssd,200 000 F Cfa
Venant,Apple,Dual core,8 Go,500 GO,125 000 F Cfa
Venant,Apple,Dual core,8 Go,500 Go,100 000 F Cfa
Venant,Apple,Core i5,8 Go,500 Go,125 000 F Cfa
Venant,Apple,Core i3,8 Go,500 Go,135 000 F Cfa
Venant,Apple,i3,4 Go,500 Go,65 000 F Cfa
Venant,Microsoft Surface,i7,8 Go,,200 000 F Cfa
Venant,Apple,I5,4Go,128Go,135 000 F Cfa
Venant,Apple,i5,4 Go,128 Go ssd,125 000 F Cfa
Venant,HP,,4 Go,500 Go,65 000 F Cfa
Neuf,Acer,"i5-13500HX (2,50 GHz to 4,7 GHz) de 13e génération",16 Go,512 Go,850 000 F Cfa
Neuf,Acer,i9-13900HX,16GB DDR5,SSD 1TB,1 350 000 F Cfa